Name,State,Country,Address,Latitude,Longitude,Google Map Link,Domestic/International,Type
Port Saeed residence,Doha Municipality,Qatar,"7GP6+9H4, Al Reem St, Doha",25.285897,51.5114543,https://www.google.com/maps/place/?q=place_id:ChIJk1-florbRT4RhZBY9Z82r88,Domestic,Unknown
PAA-PORT SECURITY CONTROL CENTER,Al Wakrah Municipality,Qatar,"201 Street, Mesaieed",25.0331904,51.5848265,https://www.google.com/maps/place/?q=place_id:ChIJTbrOcAAxRD4R1eeR7dSsADs,Domestic,Unknown
Al Wakrah Port Fishing Spot,Al Wakrah Municipality,Qatar,"5J78+CWQ, Al Wakrah",25.1635834,51.6173631,https://www.google.com/maps/place/?q=place_id:ChIJUyiGcAnLRT4RZfPY9eYaXIw,Domestic,Unknown
Hamad Port Drill Tower,Al Wakrah Municipality,Qatar,"2HPJ+83R, مسيعيد،،،",25.0358445,51.5801366,https://www.google.com/maps/place/?q=place_id:ChIJGy4Mh8UxRD4R1pfnESy7sBY,Domestic,Unknown
The City Gallery,Doha Municipality,Qatar,"8H35+P7Q Cruise Ship Hotels Bus Hub, Doha",25.304348,51.5582196,https://www.google.com/maps/place/?q=place_id:ChIJ-Q7fxvbFRT4RFDM1nc-F9js,Domestic,Unknown
GWC Port Office,بلدية الوكرة,Qatar,"2HRJ+M8V, Municipality, Al Wakrah",25.0417522,51.5807976,https://www.google.com/maps/place/?q=place_id:ChIJmcl1HeEzRD4RCtPtVCcRoPM,Domestic,Unknown
MWANI Qatar's Private Boats Berth,Al Khor and Al Thakhira Municipality,Qatar,"MGQ7+3QC, Al Khor",25.68769,51.5143986,https://www.google.com/maps/place/?q=place_id:ChIJtzrjfrf5RT4RxvrJ-ybu5es,Domestic,Unknown
Zayed International Airport,Abu Dhabi,United Arab Emirates,Abu Dhabi - United Arab Emirates,24.4512544,54.6422882,https://www.google.com/maps/place/?q=place_id:ChIJ73EMkN5IXj4RXnVtI3mZN5s,International,Airport
Al Bateen Executive Airport,Abu Dhabi,United Arab Emirates,CFG2+XPX,24.4274835,54.4518746,https://www.google.com/maps/place/?q=place_id:ChIJ06QO1EFCXj4RhYGMu8zHuIc,Domestic,Airport
"Sheikh Zayed Terminal, Al Bateen Excutive Airport",Abu Dhabi,United Arab Emirates,CFG3+V4W,24.4272049,54.4527978,https://www.google.com/maps/place/?q=place_id:ChIJES2C_GhCXj4RbNpA7D5sfTQ,Domestic,Airport
Al Bateen Airport Administration Office Bldg. 32,Abu Dhabi,United Arab Emirates,132 Khalaf Bin Mohammed Al Muhairi St,24.4285651,54.450744,https://www.google.com/maps/place/?q=place_id:ChIJ4fZbTaRDXj4Rq2FKP5aV9Bs,Domestic,Airport
Morafiq City Check-In Abu Dhabi Airport,Abu Dhabi,United Arab Emirates,Cruise Terminal,24.529684,54.3816127,https://www.google.com/maps/place/?q=place_id:ChIJIyLy3lFmXj4RGm5Kq7CLWzM,Domestic,Airport
Abu Dhabi City Terminal,Abu Dhabi,United Arab Emirates,10th St,24.4934739,54.3838742,https://www.google.com/maps/place/?q=place_id:ChIJPe6Y4FFmXj4R0Xfr4rIsf3g,Domestic,Unknown
Zayed International Airport Terminal A Arrival,Abu Dhabi,United Arab Emirates,Al Matar - Abu Dhabi - United Arab Emirates,24.4538985,54.6404279,https://www.google.com/maps/place/?q=place_id:ChIJHxE2JjJPXj4Rxa0707MVFPI,International,Airport
Zayed International Airport Terminal A Departure,Abu Dhabi,United Arab Emirates,Al Matar - Abu Dhabi - United Arab Emirates,24.4539355,54.6406348,https://www.google.com/maps/place/?q=place_id:ChIJIdbEJjJPXj4RWWed3mb9K1c,International,Airport
Abu Dhabi Intl Aiport Terminal 1+3,Abu Dhabi,United Arab Emirates,Al Matar - Abu Dhabi - United Arab Emirates,24.4266024,54.6452015,https://www.google.com/maps/place/?q=place_id:ChIJYdKW-OZIXj4RBcKJE3FOQ4o,Domestic,Unknown
Jetex Abu Dhabi,Abu Dhabi,United Arab Emirates,Al Bateen Executive Airport,24.4285694,54.4512926,https://www.google.com/maps/place/?q=place_id:ChIJ-1NexvlDXj4RcSjbSebv6xk,Domestic,Airport
Abu Dhabi Airport Terminal A,Abu Dhabi,United Arab Emirates,Al Matar - Abu Dhabi - United Arab Emirates,24.4534367,54.640425,https://www.google.com/maps/place/?q=place_id:ChIJ7Ta1OjJPXj4RqLQs67Yp7dY,Domestic,Airport
